"Title","PMID","cell_name","Cell_Type","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200"
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster8_PMID_31924475","B cell","KLF6","DUSP2","RGS1","JUN","CH17-373J23.1","IER2","CD69","FOSB","NFKBIA","PPP1R15A","EGR1","ZFP36","KLF2","FOS","DUSP1","GPR183","TSC22D3","NR4A2","JUNB","TNFRSF13B","RP11-386I14.4","YPEL5","MCL1","ITGB1","AL928768.3","IDS","TUBA1A","JUND","UBC","RGS2","BCL2A1","CD44","CLECL1","NEAT1","RP1-313I6.12","IER5","ADGRE5","CXCR4","CAPG","CRIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster9_PMID_31924475","B cell","FCER2","IGHD","CD72","PHACTR1","FOS","CHI3L2","CD69","TCL1A","HVCN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster10_PMID_31924475","B cell","HSPA1A","HSPA1B","DNAJB1","HSP90AA1","HSPB1","HSPH1","HSPE1","IER5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster11_PMID_31924475","B cell","RP5-887A10.1","AL928768.3","TNFRSF13B","CRIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster1_PMID_31924475","Dendritic cell","FSCN1","CCL19","TXN","CCL22","BIRC3","CCR7","CCL17","MARCKSL1","LAMP3","IDO1","CST7","GSN","RGS1","CD83","PPA1","CSF2RA","EBI3","AOC1","ID2","DUSP5","NUB1","HLA-DQA1","BASP1","ANXA6","RAMP1","LAD1","IL4I1","SYNGR2","IL32","HSPB1","LSP1","CD74","DUSP4","TMEM176A","TBC1D4","RAB9A","SAMSN1","PLA2G16","HSPA1A","CD40","HLA-DPB1","IL7R","IGKC","CDKN1A","GRSF1","GADD45A","GPR183","RASSF4","GPR157","NABP1","TSPAN13","REL","MTHFD2","DAPP1","PPP1R14A","HLA-DQB1","CFLAR","HLA-DPA1","TUBA1C","HLA-DQA2","MAP3K13","TRAF1","MALAT1","VOPP1","IGHG3","FAM60A","CD86","MIR155HG","HSPA1B","IGHG1","KDM2B","KIF2A","RELB","GZMB","GPX4","HLA-DRA","SIAH2","STK4","BTG1","GRAMD1A","PTMS","FNBP1","CRIP1","MARCKS","CD274","ALDH2","CLIC2","NMRK1","MGLL","TVP23A","NRP2","YWHAQ","TMEM176B","NFKB1","PMAIP1","HSP90AA1","TRAFD1","ERICH1","SEC61B","RFTN1","HLA-DRB1","ACTG1","LY75","UBB","HLA-DRB5","NET1","PVRL2","ETV3","REPIN1","SPINT2","IL2RG","HSPA8","HLA-DQB2","MALT1","TUBA1B","H2AFZ","GPR137B","ATF5","POGLUT1","TNFAIP2","UBC","CYTIP","JUN","PTGIR","VMO1","CXCL9","CD200","ISG20","PTPN1","TRIP10","OSTF1","GBP1","GADD45B","BCL2L14","CD70","SERPINB9","RAB8B","TRADD","IRF4","MYL6","SOCS2","TSTD1","DNAJB1","HLA-A","NAA25","FAM118A","BZW1","TMSB10","ATOX1","GSTP1","RHOF","CLPTM1","GPBP1","CD80","EPSTI1","HMGN3","TSPAN33","CTSH","NR4A3","TAP1","TNFAIP8","GABARAPL2","ISCU","ADAM19","MCM5","HSP90AB1","PTGES2","SERPINF1","HLA-DOB","ST3GAL5","SOCS1","HAPLN3","C15orf48","PPM1K","ANXA7","PNRC1","PEA15","CYB5A","RALA","SUB1","NFKB2","FYTTD1","MYO1G","KLF6","NECAP2","ENO1","ASMTL","MAP3K14","HINT1","ARHGAP10","CERS6","FLT3","GNG5","HLA-C","FABP5","PLGRKT","MREG","YPEL5","TNFRSF9","ZBTB10"
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster2_PMID_31924475","Monocyte","FCGR3A","LYPD2","RHOC","IFITM2","NAP1L1","CDKN1C","LST1","MS4A7","LINC01272","HES4","IFITM3","CFD","CD79B","COTL1","AIF1","TCF7L2","SPN","LRRC25","CD52","BIN2","DRAP1","LY6E","ABI3","CKB","RNASET2","SOD1","BID","PILRA","CSF1R","EVL","PECAM1","SIGLEC10","LILRA1","MTSS1","LILRB2","KLF2","OAS1","SERPINA1","MAPKAPK3","FAM110A","RAP1B","LIMD2","NAAA","ADA","UNC119","YBX1","TESC","CD68","SLC2A6","TPPP3","43717","SYTL1","CUX1","SPI1","PTPN6","RGS19","LYN","CORO1A","POU2F2","HCK","PTP4A3","VASP","FAM26F","ZNF703","WARS","MYO1G","NACA2","ARHGDIB","C10orf54","IFITM1","STXBP2","ICAM2","PTGES3","CYTIP","NACA","FCER1G","HLA-C","HMOX1","RP5-1171I10.5","TXNIP","CAMK1","CD37","CCDC12","ARPC2","IFI30","KLF3","CAPZB","TNFRSF1B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster3_PMID_31924475","Monocyte","LGALS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster4_PMID_31924475","Neutrophil","S100A8","S100A12","S100A9","VCAN","CYP1B1","RBP7","SELL","PLBD1","MNDA","RP11-1143G9.4","VNN2","HMGB2","GCA","METTL9","CSTA","NCF1","LYZ","IRS2","MEGF9","FOS","CD36","CSF3R","RETN","EGR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster5_PMID_31924475","Monocyte","ISG15","HSPA1A","TIMP1","C15orf48","HSPB1","DNAJB1","APOBEC3A","IL1RN","IL1B","HSP90AA1","GADD45B","ISG20","IER3","CCL4","NFKBIA","BCL2A1","G0S2","CCL3","PLAUR","IGKC","SERPINB9","CCL4L2","CD69","SLC2A3","CCL3L3","OLR1","EREG","IGLC2","VEGFA","PPIF","TNFAIP3","SOD2","GLUL","GPR183","THBD","DUSP2","TREM1","LDHA","IFI6","MIR4435-2HG","CTSL","HBEGF","CXCL8","DDIT4","MX1","TNFSF10","GBP1","PTGS2","SRGN","FPR3","IGHA1","JUN","PPP1R15A","BHLHE40","PLIN2","RGCC","LCP2","IFITM3","SOCS3","LITAF","SAT1","CREM","RGS1","ALOX5AP","HSPE1","CD14","OSM","FTH1","UBB","SGK1","ICAM1","GK","LINC00152","NAMPT","CD63","TPM4","RP11-670E13.6","IRF7","MT2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster6_PMID_31924475","Dendritic cell","HLA-DQA1","HLA-DQB1","HLA-DPB1","HLA-DPA1","FCER1A","CD74","HLA-DRB5","HLA-DRB1","S100B","CLEC10A","HLA-DRA","HLA-DQA2","GSN","CD1C","RGS1","LMNA","LTB","AREG","PPA1","GPR183","HLA-DQB2","HLA-DMA","TUBA1B","HLA-DMB","PKIB","AXL","CST3","YWHAH","SERPINF1","NDRG2","CPVL","CST7","SPINT2","CD1E","HSPA8","ALDH2","ARL4C","PPP1R14A","IL4I1","IRF8","C15orf48","HMGN1","SYNGR2","CTSH","TAP1","PLD4","PTMS","CALR","ACTG1","C1orf54","HSP90AB1","PPIB","GADD45B","PSME2","PEA15","CSF2RA","CD69","PDIA3","RUNX3","IDH2","PEBP1","LDHA","RGS10","C12orf75","KCNK6","LSP1","FCGR2B","CXCR4","CKLF","IL2RG","43714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster7_PMID_31924475","Monocyte","CCL20","CXCL3","CCL3","CXCL2","CCL3L3","IL1B","CCL4L2","CXCL8","CCL4","IL1RN","CXCL1","IL6","PTGS2","TIMP1","G0S2","PLAUR","SOD2","C15orf48","EREG","INHBA","BCL2A1","TNFAIP6","SPP1","CTSL","IER3","AREG","TNIP3","MT2A","F3","IL1A","FTH1","OLR1","SERPINB9","NFKBIA","GK","PLIN2","CD44","TNFAIP3","EHD1","EMP1","SLC2A3","AQP9","TREM1","INSIG1","SRGN","LINC00152","PPIF","NAMPT","VEGFA","MIR4435-2HG","BTG1","NINJ1","MIR3945HG","ICAM1","IVNS1ABP","NLRP3","PNRC1","WTAP","SLC25A37","GADD45B","CSTB","CREM","SDC2","ATP13A3","SAMSN1","SAT1","PPP1R15A","DUSP4","MMP19","PHLDA1","ETS2","ISG15","PMAIP1","TNIP1","NFKB1","LDHA","PFKFB3","ANPEP","HBEGF","FLT1","SLC39A8","ADAM19","THBD","CD63","TNFAIP8","RP11-670E13.6","DUSP2","ANXA5","IL7R","UPP1","ELL2","TPM4","HIF1A","LITAF","THBS1","RGCC","RIN2","FNDC3B","GPR84","CD83","CLEC5A","GSTO1","ALOX5AP","BASP1","RNF19B","SLC7A5","ADM","PLEK","OSM","AC069363.1","ISG20","CFLAR","LIMS1","HSPA1A","MMP14","LCP2","ATP2B1","MCEMP1","SELK","ACSL1","KYNU","C1orf122","PDE4B","PNP","ATP1B3","SLC16A10","PDE4DIP","DSE","LINC00936","CD300E","SOCS3","MXD1","MARCKS","PHLDA2","TRAF1","EIF1B","RAB13","CCRL2","H3F3B","DRAM1","IGKC","FCER1G","SPHK1","FCGR2A","GNA15","IGHA1","HPSE","SNX9","DDIT4","BEST1","ITGAX","PMP22","CDKN1A","CD55","APOBEC3A","FNIP2","ABCA1","POMP","IGLC2","PIM3","NDRG1","HSPA5","BNIP3L","BZW1","KDM6B","RHOH","CYSTM1","TPI1","BHLHE40","XBP1","MARCO","CEBPB","CD59","SLC16A3","MAP3K8","FPR2","HSPB1","GPR183","ARFGAP3","TNFRSF1B","BCAT1","GLUL","TFRC","MIF","VIM","PELI1","NFKBIZ","PGK1","RIPK2","","","","","","","","","","",""
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"Myeloid cell Clusters_Cluster8_PMID_31924475","Macrophage","APOE","APOC1","C1QB","RNASE1","C1QA","MMP12","C1QC","CCL18","SPP1","IFI27","ACP5","MMP9","LGMN","GPNMB","CXCL9","CTSL","CTSB","CTSC","NUPR1","RGS1","HLA-DQA1","PLD3","MMP14","CD9","CTSD","HLA-DRB1","SLC40A1","TREM2","CD63","FPR3","CD81","TMEM176B","SERPING1","PRDX1","GLUL","HLA-DRA","CAPG","CTSZ","CD74","PLTP","FCGR2A","PLA2G7","IL7R","CXCL10","TMEM176A","CD59","MS4A4A","SLCO2B1","GSN","HLA-DPA1","PMP22","ARL4C","LGALS3BP","MRC1","CCL4","TFRC","MSR1","CD14","LILRB4","IL4I1","LIPA","FABP5","C2","HLA-DQB1","PLAU","CSTB","CXCL1","CALR","A2M","IFI6","ATOX1","ADAMDEC1","C1orf54","SDS","CD68","DAB2","LMNA","HLA-DPB1","HLA-DMB","VMO1","GPR183","VSIG4","CXCL16","ABCA1","PTMS","HLA-DMA","FCGR2B","CREG1","HLA-A","GRN","HSPB1","SGK1","GM2A","DNASE2","STAB1","PSAP","LGALS3","MT1X","FCGR3A","JUN","YWHAH","TGFBI","CREM","MS4A7","C15orf48","HEXA","FCER1G","MARCKS","IGKC","SDC3","HEXB","CSF1R","LAMP1","AXL","ARHGAP18","CTSA","C3AR1","HLA-DRB5","PLAUR","LAIR1","HSP90B1","ACP2","CD163","IL32","CXCL3","CTSH","STAT1","BCAP31","ATP6V1F","ITM2B","LITAF","TTYH3","FTL","GPX3","ID3","IER3","SPRED1","NPC2","RAB13","LAG3","CCL4L2","FBP1","MAF","NR1H3","SLC16A3","RALA","FUCA1","SLAMF8","ICAM1","AKR1B1","LAPTM4A","HSPA1A","MGST3","HMOX1","ATP6AP1","SYNGR2","LHFPL2","CCL3","BST2","ANXA2","NRP1","ABHD12","GADD45G","SCARB2","ENG","FCGRT","ISG15","SGPL1","CALM1","SDC2","TSPAN4","ARL6IP1","LAPTM5","S100A11","HSP90AB1","ZNF331","SOD2","MFSD1","ALOX5AP","ATF5","CXCL2","AKR1A1","TSC22D1","PPIB","GBP1","TCN2","SERPINF1","ENPP2","PDIA4","SLC16A10","LAMP2","MT2A","OLR1","IDH1","UBB","SCD","HLA-DQA2","LINC00998","KCNMA1","PVRL2"
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Myeloid0/Macrophage_PMID_32686767","Macrophage","APOE","APOC1","RNASE1","CTSL","C1QA","C1QB","C1QC","CTSD","ADAMDEC1","SPP1","FTL","NUPR1","GPNMB","FCGR3A","CCL8","PLD3","LGMN","GLUL","CTSC","CD163","PSAP","CTSB","CCL3","HES1","MMP9","MS4A4A","IFIT1","ACP5","PLA2G7","CD68","MAFB","CD14","IFI6","TREM2","MS4A7","PRDX1","ASAH1","LGALS3","CCL4","IFI27","MARCKS","CREG1","CD81","SLC40A1","CTSS","FCER1G","CXCL9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Myeloid1/DC2(CD1C+)_PMID_32686767","Dendritic cell","S100B","HLA-DQB2","FCER1A","CD1A","PKIB","NDRG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Myeloid2/pDC_PMID_32686767","Dendritic cell","PTGDS","GZMB","IGJ","TCL1A","LILRA4","PLAC8","ITM2C","IRF7","PPP1R14B","TCF4","TSPAN13","CLIC3","SELL","PLD4","UGCG","CCDC50","C12orf75","BCL11A","MZB1","PTCRA","SPIB","LRRC26","SMPD3","MAP1A","ALOX5AP","SCT","PTPRS","IL3RA","APP","CYB561A3","SEC61B","SPCS1","CLEC4C","SLC15A4","HIGD1A","NUCB2","MPEG1","LTB","GAPT","IDH3A","LAMP5","C10orf118","TRAF4","OFD1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Myeloid3/Monocyte_PMID_32686767","Monocyte","S100A8","TIMP1","S100A9","IL1B","FCN1","VCAN","IL8","S100A12","APOBEC3B","G0S2","CCL2","S100A4","CCL20","APOBEC3A","SOD2","IL1RN","FPR1","C15orf48","EREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Myeloid4/DC3(CCR7+)_PMID_32686767","Dendritic cell","BIRC3","CCL19","FSCN1","CCR7","CCL22","MARCKSL1","TXN","CCL17","LAMP3","CRIP1","NUB1","IDO1","KIF2A","SAMSN1","ID2","CD83","CST7","RAB9A","LSP1","TBC1D4","EBI3","ANXA6","BTG1","GRSF1","CSF2RA","LAD1","PNRC1","GPR157","BASP1","PLA2G16","DUSP4","DAPP1","RAMP1","AOC1","NCCRP1","PPA1","MAP3K13","STK4","UBD","IL32","LY75","FAM60A","ERICH1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Myeloid5/DC1(CLEC9A+)_PMID_32686767","Dendritic cell","RGCC","CPVL","CLEC9A","CPNE3","C1orf54","DNASE1L3","SNX3","CCND1","IRF8","LGALS2","CLNK","CST3","NAAA","SERPINB1","PPT1","XCR1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell1/CD8+T-1_PMID_32686767","T cell","GZMH","GZMA","CCL5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell5/DysfunctionalCD8+T_PMID_32686767","T cell","CCL4","CCL3","GZMB","NKG7","GZMK","IFNG","HIST1H4C","LAG3","HAVCR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell6/CD4+Tregs-2_PMID_32686767","T cell","TNFRSF4","TNFRSF18","TNFRSF9","IL2RA","PKM","HSP90AB1","BATF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell7/CD4+Tconv-3_PMID_32686767","T cell","CXCL13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell8/CD8+T-3_PMID_32686767","T cell","IFIT3","ISG15","IFIT1","IFIT2","RSAD2","MX1","MT2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell9/NKcell_PMID_32686767","T cell","GNLY","TYROBP","KLRC1","FCER1G","XCL1","XCL2","KLRD1","CTSW","IFITM3","HOPX","KLRF1","KLRC2","PRF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell2/Plasmacell_PMID_32686767","B cell","IGJ","XBP1","MZB1","SSR4","DERL3","FKBP11","HSP90B1","ITM2C","SEC11C","PRDX4","FKBP2","HERPUD1","JUN","SSR3","VIMP","SDF2L1","SELK","SPCS2","MANF","C19orf10","SPCS3","HSPA5","IFI6","PPIB","RRBP1","SEC61B","DNAJB9","PIM2","SPCS1","CD63","PDIA4","ERLEC1","NUCB2","TNFRSF17","SEC61G","LMAN1","JSRP1","TMEM258","TMEM59","RPN2","RABAC1","SDC1","LGALS1","KDELR2","CRELD2","IFI27","SUB1","PSAP","GSTP1","CD38","NPC2","TMED10","ARF4","NEAT1","KRTCAP2","TMED9","SELM","PDIA6","SLAMF7","HM13","P4HB","SRGN","TMED2","TXNDC15","CD27","KDELR1","TRAM1","HLA-C","CD59","TMBIM6","TIMP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell3/FCRL4+memoryBcell_PMID_32686767","B cell","FCRL4","ISG15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell4/Bcell-3_PMID_32686767","B cell","FABP5","HSP90AB1","ENO1","LDHA","NME1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
