"Title","PMID","cell_name","Cell_Type","Marker_Count"
"Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer",28474673,"B cell/Pro-apoptosis","B cell",3
"Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer",28474673,"B cell/Proliferation","B cell",58
"Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer",28474673,"B cell/Germinal center","B cell",9
"Single‐cell dissection of cervical cancer reveals key subsets of the tumor immune microenvironment",37427448,"B cells_B0_TNFRSF13B","B cell",200
"Single‐cell dissection of cervical cancer reveals key subsets of the tumor immune microenvironment",37427448,"B cells_B1_S1PR1","B cell",200
"Single‐cell dissection of cervical cancer reveals key subsets of the tumor immune microenvironment",37427448,"B cells_B2_MKI67","B cell",200
"Single‐cell dissection of cervical cancer reveals key subsets of the tumor immune microenvironment",37427448,"B cells_B3_NEIL1","B cell",200
"Single‐cell dissection of cervical cancer reveals key subsets of the tumor immune microenvironment",37427448,"B cells_PC_IGHA1","B cell",114
"Single‐cell dissection of cervical cancer reveals key subsets of the tumor immune microenvironment",37427448,"B cells_PC_IGHG4","B cell",141
"A single-cell and spatially resolved atlas of human breast cancers",34493872,"B cells Memory","B cell",64
"A single-cell and spatially resolved atlas of human breast cancers",34493872,"B cells Naive","B cell",31
"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer",34890551,"PCs/Inflammatory","B cell",30
"Characterizing the tumor microenvironment of metastatic ovarian cancer by single-cell transcriptomics",34038734,"B cell/Naive","B cell",4
"Characterizing the tumor microenvironment of metastatic ovarian cancer by single-cell transcriptomics",34038734,"B cell/CD38+","B cell",4
"Characterizing the tumor microenvironment of metastatic ovarian cancer by single-cell transcriptomics",34038734,"B cell/SDC1+PC","B cell",3
"Characterizing the tumor microenvironment of metastatic ovarian cancer by single-cell transcriptomics",34038734,"B cell/Plasmablasts","B cell",2
"High-grade serous tubo-ovarian cancer refined with single-cell RNA sequencing specific cell subtypes influence survival and determine molecular subtype classification",34238352,"B cell/BC_GPR183","B cell",23
"High-grade serous tubo-ovarian cancer refined with single-cell RNA sequencing specific cell subtypes influence survival and determine molecular subtype classification",34238352,"B cell/BC_IGHG1_PRDM1","B cell",50
"Dissecting the treatment-naive ecosystem of human melanoma brain metastasis",35803246,"MBM_sc_bcells_Plasma cells","B cell",200
"Dissecting the treatment-naive ecosystem of human melanoma brain metastasis",35803246,"MBM_sc_bcells_Doublets","B cell",200
"Dissecting the treatment-naive ecosystem of human melanoma brain metastasis",35803246,"MBM_sc_bcells_Activated B cells","B cell",200
"Dissecting the treatment-naive ecosystem of human melanoma brain metastasis",35803246,"MBM_sc_bcells_Na√Øve B cells","B cell",200
"A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade",30388455,"B CELL","B cell",22
"Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma",30388456,"G1- B cells","B cell",155
"Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma",30388456,"G2- Plasma cells","B cell",200
"Spatiotemporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer",24138885,"B cells","B cell",40
